"","TXA_ITIS","TXA_Level","TXA_Name","TXA_Binomial","TXA_Parent","TXA_Author","TXA_Year","TXA_CAAB","USER","TXA_Time","TXA_Group","TXA_ReleaseDate","TXA_ExpReleaseDate","TXA_Created_At","TXA_Updated_At","TXA_WoRMsID"
"28",-995,143,"sawayai","Nolella sawayai",155535,"Marcus","1938",NA,NA,NA,"Bryozoans",2099-01-01,NA,NA,NA,NA
"29",-994,143,"fullo","Parasabella fullo",-993,"Grube","1878",NA,NA,NA,"Annelids-Polychaetes",2099-01-01,NA,NA,NA,NA
"30",-993,142,"Parasabella",NA,68076,"Bush","1905",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",-992,143,"durvillei","Padina durvillei",-991,"Bory","1827",NA,NA,NA,"Algae",2099-01-01,NA,NA,NA,NA
"32",-991,142,"Padina",NA,11149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",-990,143,NA,NA,11148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",-989,143,"adamsi","Mytliopsis adamsi",81333,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"35",-988,143,"sallei","Mytilopsis sallei",81333,"Recluz","1849",NA,NA,NA,"Mollusks-Bivalves",2099-01-01,NA,NA,NA,NA
"36",-987,143,NA,NA,-986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",-986,323,"Juxtacribrilina",NA,-943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",-985,143,"subulata","Agardhiella subulata",-984," C. Agardh","1822",NA,NA,NA,"Algae",2099-01-01,NA,NA,NA,NA
"39",-984,142,"Agardhiella",NA,-981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",-983,140,"Solieraceae",NA,11868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",-982,143,NA,NA,-981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",-981,140,"Soleriaceae",NA,11868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",-980,143,"capensis","Niambia capensis",-979,"Dolfus","1895",NA,NA,NA,"Crustaceans-Isopods",2016-06-20,NA,NA,NA,NA
"44",-979,142,"Niambia",NA,-977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",-977,140,"Platyarthridae",NA,331642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",-975,142,"Koinostylochus",NA,54169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",-973,143,"simulans","Codium simulans",6896,"Setchell & Gardner","1924",NA,NA,NA,"Algae",2099-01-01,NA,NA,NA,NA
"48",-971,142,"Durusdinium",NA,-968,"LaJeunesse 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",-968,140,"Symbiodiniaceae",NA,-967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",-967,136,"Suessiales",NA,-951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",-963,140,"Symbiodiniaceae",NA,-951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",-960,143,"simulans","Codium simulans",6896,"Setchell & N.L.Gardner","1924",NA,NA,NA,"Algae",2099-01-01,NA,NA,NA,NA
"53",-959,143," trenchii","Durusdinium trenchii",-968,"LaJeunesse","2014",NA,NA,NA,"Algae",2099-01-01,NA,NA,NA,NA
"54",-958,143,"siderea","Siderastrea siderea",-957,"Ellis & Solander, 1786)",NA,NA,NA,NA,"Cnidarians-Anthozoans",2099-01-01,NA,NA,NA,NA
"55",-957,142,"Siderastrea",NA,-956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",-956,140,"Siderastreidae",NA,52839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",-955,143,"trenchii","Symbiodinium trenchii",-954,"LaJeunesse in LaJeunesse et al. 2014",NA,NA,NA,NA,"Algae",2099-01-01,NA,NA,NA,NA
"58",-954,142," Symbiodinium",NA,-953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",-953,140,"Symbiodiniaceae",NA,-967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",-951,133,"Dinophyceae",NA,-949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",-949,131,"Miozoa",NA,590735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",-948,133,"Conoidasida",NA,-102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",-947,136,"Capitellida",NA,64358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",-944,143,"mutabilis","Cribrilina mutabilis",-943,"Ito, Onishi, and Dick 2015","2015",NA,NA,NA,"Bryozoans",2019-09-10,NA,NA,NA,NA
"65",-943,142,"Cribrilina",NA,-941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",-942,140,"Cribrilinidae",NA,155799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",-941,140,"Cribrilinidae",NA,155799,NA,NA,NA,NA,NA,"Bryozoans",NA,NA,NA,NA,NA
"68",-940,143,"maculatus","Xiphophorus maculatus",165919,"Gunther","1866",NA,NA,NA,"Fishes",2099-01-01,NA,NA,NA,NA
"69",-939,143,"onagawaensis","Polydora onagawaensis",66789,"Abe, Nishitani & Endo","2013",NA,NA,NA,"Annelids-Polychaetes",2099-01-01,NA,NA,NA,NA
"70",-938,143,"tanakae","Symphyocladia tanakae",-937,"Uwai & Masuda","1999",NA,NA,NA,"Algae",2099-01-01,NA,NA,NA,NA
"71",-937,142,"Symphyocladia",NA,13439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",-936,143,"caeruleum","Etheostoma caeruleum",168357,"Storer","1845",NA,NA,NA,"Fishes",2099-01-01,NA,NA,NA,NA
"73",-935,143,"saturejae","Holocranum saturejae",-934,"Kolenati)",NA,NA,NA,NA,"Arthropoda-Insects",2099-01-01,NA,NA,NA,NA
"74",-934,142,"Holocranum",NA,107674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",-929,143,"tulipa","Eualetes tulipa",-928,"Rousseau in Chenu","1843",NA,NA,NA,"Mollusks-Gastropods",2099-01-01,NA,NA,NA,NA
"76",-928,142,"Eualetes",NA,-821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",-927,143,"mirabilis","Ophiothela mirabilis",-926,"Verrill 1867",NA,NA,NA,NA,"Echinoderms",2099-01-01,NA,NA,NA,NA
"78",-926,142,"Ophiothela",NA,-925,NA,NA,NA,NA,NA,"Echinoderms",NA,NA,NA,NA,NA
"79",-925,140,"Ophiotrichidae",NA,-924,NA,NA,NA,NA,NA,"Echinoderms",NA,NA,NA,NA,NA
"80",-924,136,"Amphilepidida",NA,157325,NA,NA,NA,NA,NA,"Echinoderms",NA,NA,NA,NA,NA
"81",-923,142,"Heterotilapia",NA,169809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",-922,142,"Coptodon",NA,169770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",-920,142,"Pelmatotilapia",NA,169770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",-916,142,"Faxonius",NA,97336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",-914,140,"Xenocyprinidae",NA,163536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",-913,140,"Tincidae",NA,163347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",-912,140,"Tincidae",NA,163347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",-910,140,"Tincidae",NA,162846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",-907,140,"Leuciscidae",NA,162846,NA,NA,NA,NA,NA,"Fishes",NA,NA,NA,NA,NA
"90",-906,142,"Melanothamnus",NA,13439,"Diaz-Tapa et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",-905,143,"ocellaris","Amphiprion ocellaris",-904,"Cuvier","1830",NA,NA,NA,"Fishes",2099-01-01,NA,NA,NA,NA
"92",-904,142,"Amphiprion",NA,170044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",-903,143,"sp.","Pyropia sp.",11540,"Lindstrom","2018",NA,NA,NA,"Algae",2099-01-01,NA,NA,NA,NA
"94",-902,143,"dabryanus","Paramisgurnus dabryanus",-900,"Dabry de Thiersant","1872",NA,NA,NA,"Fishes",2099-01-01,NA,NA,NA,NA
"95",-900,142,"Paramisgurnus",NA,163976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",-898,143,"japonica","Mazzaella japonica",-897,"Hommersand","1993",NA,NA,NA,"Algae",2099-01-01,NA,NA,NA,NA
"97",-897,142,"Mazzaella",NA,12090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",-892,143,"olonga","Clavelina oblonga",158864,"Herdmann","1880",NA,NA,NA,"Tunicates",2099-01-01,NA,NA,NA,NA
"99",-891,143,"japonica","Mya japonica",-59,"Jay","1857",NA,NA,NA,"Mollusks-Bivalves",2099-01-01,NA,NA,NA,NA
"100",-889,143,"brodiei","Leptosiphonia brodiei",-1007,"(Dillwyn) Savoie & G.W.Saunders 2019","1809",NA,NA,NA,"Algae",2099-01-01,NA,NA,NA,NA
"101",-888,143,"koreana","Pyropia koreana",11540,"Hwang & Lee","1994",NA,NA,NA,"Algae",2099-01-01,NA,NA,NA,NA
"102",-887,143,"caerulescens","Hedera caerulescens",-886,"Conti-Jerpe &Freshwater","2017",NA,NA,NA,"Cnidarians-Anthozoans",2099-01-01,NA,NA,NA,NA
"103",-886,142,"Hedera",NA,-885,"Conti-Jerpe & Freshwater","2017",NA,NA,NA,"Cnidarians-Anthozoans",NA,NA,NA,NA,NA
"104",-885,140,"Alcyoniidae",NA,-668,"Lamouroux","1812",NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",-883,143,"parvulus","Pyrgophorus parvulus",-882,"(Guilding)","1828",NA,NA,NA,"Mollusks-Gastropods",2099-01-01,NA,NA,NA,NA
"106",-882,142,"Pyrgophorus",NA,-881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",-881,140,"Cochliopidae",NA,566851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",-879,142,"Rocio",NA,169770,"Schmitter-Soto, 2007a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",-878,142,"Mayaheros",NA,169770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",-877,143,"canaliculata","Pomacea canaliculata",70342,"Lamarck","1822",NA,NA,NA,"Mollusks-Gastropods",2099-01-01,NA,NA,NA,NA
"111",-876,143,"japonicus","Neastymachus japonicus",-875,"Tachikawa","1970",NA,NA,NA,"Arthropoda-Insects",2099-01-01,NA,NA,NA,NA
"112",-875,142,"Neastymachus",NA,-874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",-874,140,"Encyrtidae",NA,153658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",-873,143,"biwakoensis","Nipponaclerda biwakoensis",-872,"Kuwana","1907",NA,NA,NA,"Arthropoda-Insects",2099-01-01,NA,NA,NA,NA
"115",-872,142,"Nipponaclerda",NA,-871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",-871,140,"Aclerdidae",NA,103359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",-870,143,"punctata","Timarete punctata sp. A",-869,"Seixas, Zanol, Magalhaes, Paiva","2017",NA,NA,NA,"Annelids-Polychaetes",2014-02-01,NA,NA,NA,NA
"118",-869,140,"Cirratulidae",NA,555672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",-868,143,"minutus","Spirobranchus minutus",68315,"(Rioja, 1941)","1941",NA,NA,NA,"Annelids-Polychaetes",2013-01-01,NA,NA,NA,NA
"120",-867,143,"balboensis","Protula balboensis",65258,"Monro, 1933",NA,NA,NA,NA,"Annelids-Polychaetes",2014-02-01,NA,NA,NA,NA
"121",-865,142,"Protula",NA,68232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",-862,143,"marina","Paralia marina",-861,"(W.Smith) Heiberg","1863",NA,NA,NA,"Algae",2099-01-01,NA,NA,NA,NA
"123",-861,142,"Paralia",NA,-859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",-859,136,"Melosirales",NA,590736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",-857,143,"cyanomos","Neopomacentrus cyanomos",-856,"Bleeker","1856",NA,NA,NA,"Fishes",2099-01-01,NA,NA,NA,NA
"126",-856,142,"Neopomacentrus",NA,170044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",-855,143,"zonangulus","Procambarus zonangulus",97490,"Hobbs and Hobbs, 1990","1990",NA,NA,NA,"Crustaceans-Crayfish",2014-02-01,NA,NA,NA,NA
"128",-854,143,"anguinea","Polyandrocarpa anguinea",159416,"Sluiter","1998",NA,NA,NA,"Tunicates",2099-01-01,NA,NA,NA,NA
"129",-852,143,"sungminbooi","Ceramium sungminbooi",12978," Hughey & Boo","2016",NA,NA,NA,"Algae",2099-01-01,NA,NA,NA,NA
"130",-851,143,"sebae","Monodactylus sebae",-850,"Cuvier","1829",NA,NA,NA,"Fishes",2099-01-01,NA,NA,NA,NA
"131",-850,142,"Monodactylus",NA,-849,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"132",-849,140,"Monodactylidae",NA,167640,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"133",-848,143,"polyacanthus","Acanthochromis polyacanthus",-847,"Bleeker","1855",NA,NA,NA,"Fishes",2099-01-01,NA,NA,NA,NA
"134",-847,142,"Acanthochromis",NA,170044,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"135",-846,143,"nippon","Cervus nippon",-844,"Temminck","1838",NA,NA,NA,"Mammals",2099-01-01,NA,NA,NA,NA
"136",-844,142,"Cervus",NA,-843,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"137",-843,136,"Artiodactyla",NA,179913,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"138",-842,143,"parva","Anchoa parva",-839,"(Meek &amp; Hildebrand, 1923)","1923",NA,NA,NA,"Fishes",2017-09-27,NA,NA,NA,NA
"139",-841,143,"parva",NA,-839,"Meek & Hildebrand,","1923",NA,NA,NA,"Fishes",2099-01-01,NA,NA,NA,NA
"140",-839,142,"Anchoa",NA,-837,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"141",-837,140,"Engraulidae",NA,161694,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"142",-836,143,"punctata","Protemblemaria punctata",-834,"Cervig<f3>n","1966",NA,NA,NA,"Fishes",2099-01-01,NA,NA,NA,NA
"143",-835,143,"punctata",NA,-834,"Cervig<f3>n","1966",NA,NA,NA,"Fishes",2099-01-01,NA,NA,NA,NA
"144",-834,142,"Protemblemaria",NA,167640,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"145",-833,143,"tagatzi","Rhizodomus tagatzi",-831,"Strelkow and Wirketis 1950","1950",NA,NA,NA,"Protozoans",2099-01-01,NA,NA,NA,NA
"146",-831,142,"Rhizodomus",NA,-830,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"147",-830,136,"Tintinnida",NA,-829,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"148",-829,134,"Choreotrichia",NA,46211,NA,NA,NA,NA,NA,"Protozoans",2099-01-01,NA,NA,NA,NA
"149",-828,139,"Pyramidelloidea",NA,-824,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"150",-827,143,"pacei","Cyclothyca pacei",-825,"Petuch 1987","1891",NA,NA,NA,"Mollusks-Gastropods",2017-06-21,NA,NA,NA,NA
"151",-826,142,"Cyclothyca",NA,-825,"Stearns 1890",NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"152",-825,140,"Amathinidae",NA,-828,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"153",-824,136,"Heterobranchia",NA,69459,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"154",-823,143,"vandyensis","Thylacodes vandyensis",-822,"Bieler, Rawlings & Collins 2017","2017",NA,NA,NA,"Mollusks-Gastropods",2099-01-01,NA,NA,NA,NA
"155",-822,142,"Thylacodes",NA,-821,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"156",-821,140,"Vermetidae",NA,566851,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"157",-820,143,"nimbosa","Fissurella nimbosa",-819,"(Linnaeus, 1758)","1758",NA,NA,NA,"Mollusks-Gastropods",2017-06-21,NA,NA,NA,NA
"158",-819,142,"Fisurella",NA,-817,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"159",-817,140,"Fisurellidae",NA,69461,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"160",-816,133,"Conoidasida",NA,43780,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"161",-815,143,"maculicauda","Vieja maculicauda",-814,"Regan 1905",NA,NA,NA,NA,"Fishes",2017-09-27,NA,NA,NA,NA
"162",-814,142,"Vieja",NA,169770,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"163",-813,143,"chagresi","Atherinella chagresi",-812,"(Meek &amp; Hildebrand, 1914)","1914",NA,NA,NA,"Fishes",2017-09-26,NA,NA,NA,NA
"164",-812,142,"Atherinella",NA,165984,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"165",-811,143,"fluviatilis","Leptophilypnus fluviatilis",-810,"Meek &amp; Hildebrand, 1916","1916",NA,NA,NA,"Fishes",2017-09-26,NA,NA,NA,NA
"166",-810,142,"Leptophilypnus",NA,172171,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"167",-809,143,"maculatus","Dormitator maculatus",171917,"(Bloch, 1792)","1792",NA,NA,NA,"Fishes",2017-09-26,NA,NA,NA,NA
"168",-808,143,"brachyurus lineatus","Microphis brachyurus lineatus",-807,"(Kaup, 1856)","1856",NA,NA,NA,"Fishes",2017-09-27,NA,NA,NA,NA
"169",-807,142,"Microphis",NA,-806,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"170",-806,140,"Syngnathidae",NA,-805,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"171",-805,136,"Syngnathiformes",NA,161061,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"172",-803,143,"reynoldsi","Uromunna reynoldsi",92973,"(Frankenberg and Menzies, 1966)","1966",NA,NA,NA,"Crustaceans-Isopods",2017-09-27,NA,NA,NA,NA
"173",-802,143,"ziczac","Echinolittorina ziczac",-800,NA,NA,NA,NA,NA,"Mollusks-Gastropods",2099-01-01,NA,NA,NA,NA
"174",-800,142,"Echinolittorina",NA,70394,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"175",-798,143,"mus","Conus mus",-797,"Hwass in Brugui<e8>re, 1792",NA,NA,NA,NA,"Mollusks-Gastropods",2017-09-26,NA,NA,NA,NA
"176",-797,143,"Conus",NA,-796,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"177",-796,140,"Conidae",NA,73228,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"178",-795,143,"hoplura","Polydora hoplura",66789,"Clapar<e8>de","1869",NA,NA,NA,"Annelids-Polychaetes",2099-01-01,NA,NA,NA,NA
"179",-793,143,"carinata","Bankia carinata",-792,"J.E. Gray","1827",NA,NA,NA,"Mollusks-Bivalves",2099-01-01,NA,NA,NA,NA
"180",-792,143,"carinata",NA,81833,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"181",-791,143,"pectinifera","Patiria pectinifera",-790,"Muller & Troschel","1842",NA,NA,NA,"Echinoderms",2099-01-01,NA,NA,NA,NA
"182",-790,142,"Patiria",NA,-789,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"183",-789,140,"Asterinidae",NA,-784,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"184",-787,136,"Valvatida",NA,-786,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"185",-786,133,"Asteroidea",NA,156857,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"186",-784,136,"Valvatida",NA,156862,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"187",-781,143,"\",NA,156049,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA
"188",-780,143,"sculptum","Temnotrema sculptum",-779,"A. Agassiz, 1864",NA,NA,"Admin",NA,"Echinoderms",2099-01-01,NA,NA,NA,NA
"189",-779,142,"Temnotrema",NA,-778,NA,NA,NA,"Admin",NA,NA,2099-01-01,NA,NA,NA,NA
"190",-778,140,"Temnopleuridae",NA,-777,NA,NA,NA,"Admin",NA,NA,2099-01-01,NA,NA,NA,NA
"191",-777,136,"Camarodonta",NA,157820,NA,NA,NA,"Admin",NA,NA,2099-01-01,NA,NA,NA,NA
"192",-776,143,"longirostris","Exochella longirostris",-774,"Julien 1888",NA,NA,"Admin",NA,"Bryozoans",2099-01-01,NA,NA,NA,NA
"193",-775,143,"tricuspis","Exochella tricuspis",-774,"Hincks, 1881",NA,NA,"Admin",NA,"Bryozoans",2099-01-01,NA,NA,NA,NA
"194",-774,142,"Exochella",NA,-773,NA,NA,NA,"Admin",NA,NA,2099-01-01,NA,NA,NA,NA
"195",-773,140,"Exochellidae",NA,155800,NA,NA,NA,"Admin",NA,NA,2099-01-01,NA,NA,NA,NA
"196",-772,143,"radiata",NA,-771,"Audouin 1826",NA,NA,"Admin",NA,"Bryozoans",2099-01-01,NA,NA,NA,NA
"197",-771,142,"Patinella",NA,-770,NA,NA,NA,"Admin",NA,NA,2099-01-01,NA,NA,NA,NA
"198",-770,140,"Lichenoporidae",NA,-769,NA,NA,NA,"Admin",NA,NA,2099-01-01,NA,NA,NA,NA
"199",-769,137,"Rectangulata",NA,-768,NA,NA,NA,"Admin",NA,NA,2099-01-01,NA,NA,NA,NA
"200",-768,136,"Cyclostomatida",NA,-767,NA,NA,NA,"Admin",NA,NA,2099-01-01,NA,NA,NA,NA
"201",-767,133,"Stenolaemata",NA,155470,NA,NA,NA,"Admin",NA,NA,2099-01-01,NA,NA,NA,NA
"202",-765,143,"cytaeum","Anomia cytaeum",79796,"Gray 1850",NA,NA,"Admin",NA,"Mollusks-Bivalves",2099-01-01,NA,NA,NA,NA
"203",-764,143,"bellula","Arbocuspis bellula",-763,"Hincks 1881",NA,NA,"Admin",NA,"Bryozoans",2099-01-01,NA,NA,NA,NA
"204",-763,142,"Arbocuspis",NA,155858,NA,NA,NA,"Admin",NA,NA,2099-01-01,NA,NA,NA,NA
"205",-762,143,"seta","Mopalia seta",-761,"Jakovleva, 1952",NA,NA,"Admin",NA,"Mollusks-Chitons",2099-01-01,NA,NA,NA,NA
"206",-761,142,"Mopalia",NA,-760,NA,NA,NA,"Admin",NA,NA,2099-01-01,NA,NA,NA,NA
"207",-760,141,"Mopaliinae",NA,-759,NA,NA,NA,"Admin",NA,NA,2099-01-01,NA,NA,NA,NA
"208",-759,140,"Mopaliidae",NA,-758,NA,NA,NA,"Admin",NA,NA,2099-01-01,NA,NA,NA,NA
"209",-758,139,"Mopalioidea",NA,566861,NA,NA,NA,"Admin",NA,NA,2099-01-01,NA,NA,NA,NA
"210",-757,143,"challengeri","Chthamalus challengeri",89591,"Hoek, 1883",NA,NA,"Admin",NA,"Crustaceans-Barnacles",2099-01-01,NA,NA,NA,NA
